"...1","year","Autres impôts, taxes et versements assimilés","Ventes de marchandises","Production vendue biens","Production vendue services","Chiffres d’affaires nets","Production stockée","Production immobilisée","Subventions d’exploitation","Reprises sur amortissements et provisions, transfert de charges","Autres produits","Total des produits d’exploitation","Achats de marchandises (y compris droits de douane)","Variation de stock (marchandises)","Achats de matières premières et autres approvisionnements","Variation de stock (matières premières et approvisionnements)","Autres achats et charges externes","Impôts, taxes et versements assimilés","Salaires et traitements","Charges sociales","Autres charges","Total des charges d’exploitation","Résultat d'exploitation","Bénéfice attribué ou perte transférée","Perte supportée ou bénéfice transféré","Produits financiers de participations","Produits des autres valeurs mobilières et créances de l’actif immobilisé","Autres intérêts et produits assimilés","Reprises sur provisions et transferts de charges financier","Différences positives de change","Produits nets sur cessions de valeurs mobilières de placement","Total des produits financiers","Dotations financières sur amortissements et provisions","Intérêts et charges assimilées","Différences négatives de change","Charges nettes sur cessions de valeurs mobilières de placement","Total des charges financières","Résultat financier","Résultat en cours avant impôts","Produits exceptionnels sur opérations de gestion","Produits exceptionnels sur opérations en capital","Reprises sur provisions et transferts de charges exceptionnel","Total des produits exceptionnels","Charges exceptionnelles sur opérations de gestion","Charges exceptionnelles sur opérations en capital","Dotations exceptionnelles aux amortissements et provisions","Total des charges exceptionnelles","Résultat exceptionnel","Participation des salariés aux résultats de l’entreprise","Impôts sur les bénéfices","Total des produits","Total des charges","Bénéfices ou perte (Total des produits ‐ Total des charges)","Impôts différés (compte de résultat)","Résultat net des sociétés mises en équivalence","Résultat net des entreprises intégrées","Résultat Groupe (Résultat net consolidé)","Part des intérêts minoritaires (Résultat hors groupe)","Résultat net part du groupe (part de la société mère)","Rémunération d’intermédiaires et honoraires (hors rétrocessions)","Location, charges locatives et de copropriété","Effectif moyen du personnel","Sous‐traitance","Personnel extérieur à l’entreprise","Rétrocessions d’honoraires, commissions et courtages","Taxe professionnelle","Montant de la TVA. collectée","Total TVA. déductible sur biens et services","Dividendes","siren","denomination","enthic","postal_code","town","ape","ape_name","ape_len","ape_division","ape_groupe","ape_classe","ape_sous_classe","ess_N° IDENTITE ENTREPRISE (SIREN)","ess_RAISON SOCIALE","ess_ENSEIGNE","ess_SIGLE","ess_CP VILLE","ess_FORME JURIDIQUE","is_ess"
145,2012,NA,NA,NA,328846,328846,NA,NA,NA,NA,818,329664,NA,NA,13834,NA,156141,1761,75840,26326,1,277375,52289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52289,4156,NA,NA,4156,NA,NA,NA,74,4082,NA,NA,333821,277449,56371,NA,NA,NA,NA,NA,NA,90730,35832,2,5304,NA,NA,270,64453,29040,1e+05,343802534,"SERITEC SARL",648,"13016","MARSEILLE","1812Z","Autre imprimerie (labeur)",5,18,181,1812,"1812Z",NA,NA,NA,NA,NA,NA,FALSE
146,2012,NA,NA,NA,NA,NA,NA,NA,NA,360,26,386,NA,NA,NA,NA,25165,224,11432,5752,NA,44860,-44474,NA,NA,3032,NA,5673,8026,581440,17643,615814,NA,NA,NA,3603,3603,612210,567737,132,NA,NA,132,NA,NA,7773,7773,-7641,NA,NA,616332,56236,560096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343855755,"ECOLEASE",1550,"75016","PARIS","4651Z","Comm. de gros d'ordinat., d'éqpts informatiq. périph. & logiciels",5,46,465,4651,"4651Z",NA,NA,NA,NA,NA,NA,FALSE
147,2012,NA,NA,NA,208291,208291,NA,NA,NA,NA,4,208295,NA,NA,NA,NA,100212,3016,85103,23549,2,213439,-5144,NA,NA,3,NA,NA,NA,7,NA,NA,NA,874,NA,NA,874,-864,-6009,NA,10702,NA,NA,633,3658,NA,4292,6411,NA,NA,219007,218605,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344055827,"TAXI CAROLE",1003,"28210","NOGENT-LE-ROI","4932Z","Transports de voyageurs par taxis",5,49,493,4932,"4932Z",NA,NA,NA,NA,NA,NA,FALSE
148,2012,NA,NA,NA,735053,735053,NA,NA,NA,25731,30,760815,NA,NA,NA,NA,720256,817,32776,12960,23282,790982,-30167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7865,NA,NA,7865,4742,NA,NA,4742,NA,NA,NA,768681,795725,-27043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344122296,"SARL SEA CONSOLIDATORS INTERNATIONAL",261,"75013","PARIS","8299Z","Autres activités de soutien aux entreprises n.c.a.",5,82,829,8299,"8299Z",NA,NA,NA,NA,NA,NA,FALSE
149,2012,NA,NA,NA,327187,327187,NA,NA,NA,8840,NA,336026,NA,NA,NA,NA,90884,3635,107000,71931,NA,280378,55649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,55646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17017,336026,297398,38629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344733324,"SARL PEZOUT ET ASSOCIES",742,"75011","PARIS","6920Z","Activités comptables",5,69,692,6920,"6920Z",NA,NA,NA,NA,NA,NA,FALSE
150,2012,NA,45487,NA,125528,171016,NA,NA,NA,538,16,171569,40413,-1217,NA,NA,106346,1750,17976,2838,179,168352,3217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3217,NA,NA,NA,NA,197,NA,NA,197,-197,NA,NA,171569,168550,3020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345171250,"E.R.T.",1506,"77111","SOIGNOLLES EN BRIE","4634Z","Commerce de gros (commerce interentreprises) de boissons",5,46,463,4634,"4634Z",NA,NA,NA,NA,NA,NA,FALSE
151,2012,NA,191024,NA,NA,191024,NA,NA,NA,2942,12,193978,NA,-1842,12,NA,16740,517,14006,7931,31,184999,8979,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,2,8981,NA,NA,NA,NA,2662,NA,NA,2662,-2662,NA,660,193980,188321,5659,NA,NA,NA,NA,NA,NA,5309,5017,1,NA,NA,NA,326,11460,12224,NA,345176051,"CAPELLE",895,"80110","MEZIERES-EN-SANTERRE","4729Z","Autres commerces de détail alimentaires en magasin spécialisé",5,47,472,4729,"4729Z",NA,NA,NA,NA,NA,NA,FALSE
152,2012,NA,NA,NA,NA,1698361,NA,NA,NA,178830,247,1877439,NA,NA,-338252,NA,-806939,-6718,NA,-379920,-179504,-1787088,90351,NA,NA,3616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10176,-6559,83791,NA,NA,NA,NA,NA,NA,NA,-228,3506,NA,-37319,NA,NA,49979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345202147,"CAO",527,"13127","VITROLLES","3320C","Concept. d'ens. & assembl s/site d'éqpts ctrle des processus ind.",5,33,332,3320,"3320C",NA,NA,NA,NA,NA,NA,FALSE
153,2012,NA,NA,NA,15000,15000,NA,NA,NA,NA,NA,15000,NA,NA,NA,NA,11444,1737,NA,NA,NA,13181,1819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,15000,13454,1546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347422982,"IMMOBILIERE MALESHERBES",1010,"75017","PARIS","6831Z","Agences immobilières",5,68,683,6831,"6831Z",NA,NA,NA,NA,NA,NA,FALSE
154,2012,NA,NA,NA,312610,312610,NA,NA,NA,7280,NA,319890,NA,NA,18090,NA,83948,6063,126170,53239,16,291302,28589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1691,-1691,26897,NA,10197,NA,10197,45,NA,NA,11821,-1624,NA,6165,330087,310979,19108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347667438,"SOCIETE DES ATELIERS JACQUES GOUJON",626,"75018","PARIS","9524Z","Réparation de meubles et d'équipements du foyer",5,95,952,9524,"9524Z",NA,NA,NA,NA,NA,NA,FALSE
155,2012,NA,4390809,NA,28370,4419178,NA,NA,NA,36993,43,4456214,1341304,NA,NA,NA,608608,128179,1171584,483884,66686,3902971,553243,NA,NA,6543,NA,15655,NA,NA,NA,22198,NA,NA,NA,NA,5208,16989,570232,102,NA,NA,102,NA,NA,NA,8455,-8353,NA,183027,4478513,4099661,378852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347767790,"CESAR",992,"06600","ANTIBES","5610A","Restauration traditionnelle",5,56,561,5610,"5610A",NA,NA,NA,NA,NA,NA,FALSE
156,2012,NA,1047865,NA,19831,1067696,NA,NA,NA,37794,1,NA,580794,-33183,NA,NA,147860,10057,241214,122597,21,1161035,-55544,NA,NA,NA,200,13261,NA,NA,NA,NA,NA,3292,NA,NA,3292,10168,-45375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1118952,1164327,-45375,NA,NA,NA,NA,NA,NA,5678,36963,5,NA,NA,NA,5194,188798,113930,NA,348112863,"AVIEX",892,"13127","VITROLLES","4619B","Autres intermédiaires du commerce en produits divers",5,46,461,4619,"4619B",NA,NA,NA,NA,NA,NA,FALSE
157,2012,NA,NA,NA,NA,NA,NA,NA,NA,20349,6696,27045,NA,NA,NA,NA,240785,9258,17255,2882,1469,291381,-264336,NA,NA,NA,125000,NA,NA,NA,NA,125000,NA,320,NA,NA,320,124680,-139656,NA,NA,NA,NA,6175,NA,NA,6175,-6175,NA,NA,152045,297876,-145831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348518093,"GROUPE LA PAISIBLE",1515,"06800","CAGNES-SUR-MER","6420Z","Activités des sociétés holding",5,64,642,6420,"6420Z",NA,NA,NA,NA,NA,NA,FALSE
158,2012,NA,2134947,1374048,40043,3549038,-32107,NA,10000,30700,115,3557746,NA,32892,737250,-52682,909651,7231,174647,55723,19257,NA,89433,NA,NA,NA,NA,3757,NA,NA,NA,3757,NA,NA,NA,NA,12791,-9033,80400,9928,NA,NA,9928,19283,NA,NA,19563,-9636,NA,15213,3571431,3515880,NA,NA,NA,NA,NA,NA,NA,402246,61869,6,235381,23280,NA,3405,625037,446442,NA,348841263,"VETEMENTS PROTECTION SECURITE",1479,"60200","COMPI","1412Z","Fabrication de vêtements de travail",5,14,141,1412,"1412Z",NA,NA,NA,NA,NA,NA,FALSE
159,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40634,683,NA,NA,NA,41317,-41317,NA,NA,15571,NA,NA,NA,NA,1322,16893,NA,175,NA,NA,175,16718,-24599,51240,NA,NA,51240,NA,NA,NA,NA,51240,NA,3996,68133,45488,22645,NA,NA,NA,NA,NA,NA,39250,920,NA,NA,NA,NA,683,NA,NA,NA,348896259,"SNC ROCROIX",1263,"91390","MORSANG SUR ORGE","4110D","Supports juridiques de programmes",5,41,411,4110,"4110D",NA,NA,NA,NA,NA,NA,FALSE
160,2012,NA,247597,284502,NA,532098,-6450,NA,NA,435,22736,548819,1026,NA,102594,-10901,245836,2984,105791,28961,25669,511008,NA,NA,NA,90035,NA,NA,NA,NA,NA,90035,NA,9617,NA,NA,9617,80417,118228,NA,NA,NA,NA,1572,NA,NA,NA,-1572,NA,8641,638854,530839,NA,NA,NA,NA,NA,NA,NA,18973,23720,5,62,NA,16500,830,48529,50228,NA,348918012,"PALATINE",1614,"93500","PANTIN","3250A","Fabrication de matériel médico-chirurgical et dentaire",5,32,325,3250,"3250A",NA,NA,NA,NA,NA,NA,FALSE
161,2012,NA,74660,NA,755447,830107,6353,NA,10123,8185,24,854792,34221,NA,106118,-1293,378904,4589,NA,59443,2,857340,-2549,NA,NA,7,NA,NA,NA,NA,116,122,NA,14142,NA,NA,14142,-14020,NA,3159,19000,NA,22159,1166,1098,NA,2264,NA,NA,NA,877073,873747,NA,NA,NA,NA,NA,NA,NA,6124,194502,7,9963,17218,NA,249,137742,90036,NA,348996521,"T.P.A. JEAN MARIE MOREAU",34,"79380","LA FOR","0161Z","Activités de soutien aux cultures",5,1,16,161,"0161Z",NA,NA,NA,NA,NA,NA,FALSE
162,2012,NA,NA,NA,114977,114977,NA,NA,NA,NA,2,114979,NA,NA,NA,NA,96336,1726,66351,31539,NA,196330,-81351,NA,NA,73266,NA,NA,NA,NA,NA,NA,NA,514,NA,NA,514,72753,-8598,3496,NA,NA,3496,433,NA,NA,433,3063,NA,NA,191741,197276,-5535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349007351,"MISTRAL VOYAGES",351,"13008","MARSEILLE","7912Z","Activités des voyagistes",5,79,791,7912,"7912Z",NA,NA,NA,NA,NA,NA,FALSE
163,2012,NA,NA,NA,758581,758581,NA,NA,NA,7694,1681,767956,NA,NA,NA,NA,236450,34596,145339,71235,1779,521302,246654,NA,NA,NA,NA,7171,NA,NA,139,7330,NA,NA,NA,NA,NA,7330,NA,5612,42900,NA,48512,142,49402,NA,49544,NA,NA,85345,823798,656191,167607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349099861,"CLAUDINE PELLERIN ASSURANCE",1631,"59800","LILLE","6622Z","Activités des agents et courtiers d'assurances",5,66,662,6622,"6622Z",NA,NA,NA,NA,NA,NA,FALSE
164,2012,NA,914,561048,4551,566513,9695,NA,1500,7780,756,586244,NA,970,148117,-599,206667,6545,164686,66084,NA,595555,NA,NA,NA,NA,NA,NA,NA,3925,NA,3925,NA,3127,NA,NA,3533,392,-8919,10613,NA,NA,10613,1567,8637,NA,NA,409,NA,-1600,600782,607692,-6910,NA,NA,NA,NA,NA,NA,7182,NA,7,112259,NA,NA,1470,83409,65580,NA,349181206,"PARELEC",860,"95150","TAVERNY","2611Z","Fabrication de composants électroniques",5,26,261,2611,"2611Z",NA,NA,NA,NA,NA,NA,FALSE
165,2012,NA,NA,NA,1789910,1789910,NA,NA,NA,6926,34845,1831681,NA,NA,18577,-9788,935582,34028,541729,217875,2791,1802596,29085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11103,NA,NA,11103,-11103,17982,NA,7647,NA,NA,226,5686,NA,5913,1735,NA,4541,1839328,1824153,15176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349374868,"SARL JULIEN ET FILS",741,"33500","LIBOURNE","4941A","Transports routiers de fret interurbains",5,49,494,4941,"4941A",NA,NA,NA,NA,NA,NA,FALSE
166,2012,NA,112619,NA,NA,112619,NA,NA,NA,955,242,NA,15413,NA,NA,5058,70343,12709,85337,50451,1365,244814,-130996,NA,NA,NA,NA,4571,NA,NA,NA,4571,NA,181,NA,NA,181,4389,-126607,4493,NA,NA,4493,1370,631,NA,2002,2491,NA,NA,122882,246998,-124116,NA,NA,NA,NA,NA,NA,12730,28664,1,NA,10557,NA,1910,16775,11729,NA,349397877,"L'ORANGERAIE",992,"89000","AUXERRE","5610A","Restauration traditionnelle",5,56,561,5610,"5610A",NA,NA,NA,NA,NA,NA,FALSE
167,2012,NA,NA,618091,NA,618091,NA,NA,NA,1756,791,620639,NA,NA,224306,-1092,142868,26159,164978,52626,2298,616422,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,1315,NA,NA,1315,-1310,2907,NA,NA,NA,NA,394,NA,NA,NA,-394,NA,NA,620645,618132,2513,NA,NA,NA,NA,NA,NA,4835,83702,4,NA,NA,NA,5205,118990,71759,NA,349486936,"DALEVIT",185,"93300","AUBERVILLIERS","2312Z","Façonnage et transformation du verre plat",5,23,231,2312,"2312Z",NA,NA,NA,NA,NA,NA,FALSE
168,2012,NA,NA,NA,985489,985489,NA,NA,NA,NA,NA,985489,NA,NA,-3,NA,223435,3128,536388,76151,5,854718,130771,NA,NA,NA,NA,53,NA,NA,NA,53,NA,48,NA,NA,48,6,NA,NA,NA,NA,NA,60,NA,NA,60,-60,NA,NA,985542,890541,95001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349797225,"BENY IMMOBILIER",1010,"75011","PARIS","6831Z","Agences immobilières",5,68,683,6831,"6831Z",NA,NA,NA,NA,NA,NA,FALSE
169,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,8862,71,NA,NA,NA,11057,-11057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11057,15000,NA,NA,15000,NA,NA,NA,NA,15000,NA,NA,15001,11057,3943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349884197,"JETLAG FILMS",1059,"75014","PARIS","5911C","Production de films pour le cinéma",5,59,591,5911,"5911C",NA,NA,NA,NA,NA,NA,FALSE
170,2012,NA,NA,368732,NA,368732,NA,NA,NA,NA,30,368762,93896,NA,NA,NA,138037,825,63735,32197,NA,329419,NA,NA,NA,NA,NA,1788,NA,NA,NA,1788,NA,NA,NA,NA,NA,1788,41131,NA,NA,NA,NA,NA,NA,NA,30,-30,NA,NA,370549,329449,41101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350004610,"IDF RENOVATION",1640,"94370","SUCY EN BRIE","4120A","Construction de maisons individuelles",5,41,412,4120,"4120A",NA,NA,NA,NA,NA,NA,FALSE
171,2012,NA,NA,NA,258564,258564,NA,NA,NA,6788,5,265357,NA,NA,NA,NA,72192,5736,113812,26741,8113,231704,33652,NA,NA,NA,NA,NA,NA,NA,439,NA,NA,80,NA,NA,80,359,34011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5230,265795,237014,28781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350083598,"SOCIETE D AUDIT ET D EXPERTISE COMPTABLE DU SUD",742,"13008","MARSEILLE","6920Z","Activités comptables",5,69,692,6920,"6920Z",NA,NA,NA,NA,NA,NA,FALSE
172,2012,NA,NA,-36974,1221139,1184165,NA,NA,NA,5674,6902,1196741,40390,NA,NA,NA,738048,17823,432699,180818,6292,1435989,NA,NA,NA,506,NA,NA,NA,NA,81,NA,NA,2370,NA,NA,2370,-1783,-241031,NA,NA,NA,NA,NA,NA,27700,27700,-27700,NA,NA,1197328,1466059,-268731,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,350131835,"AVANT GARDE",1572,"75001","PARIS","7021Z","Conseil en relations publiques et communication",5,70,702,7021,"7021Z",NA,NA,NA,NA,NA,NA,FALSE
173,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662,NA,NA,NA,662,-662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662,-662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350222071,"LA GENESE",1263,"38000","GRENOBLE","4110D","Supports juridiques de programmes",5,41,411,4110,"4110D",NA,NA,NA,NA,NA,NA,FALSE
174,2012,NA,1024,NA,153006,154031,NA,NA,NA,NA,3,NA,348,NA,7002,NA,41284,1868,26371,7979,9936,98416,55618,NA,NA,NA,NA,1431,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431,57049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12027,155465,110443,45022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350358271,"PAIRET",998,"89000","AUXERRE","4520A","Entretien et réparation de véhicules automobiles légers",5,45,452,4520,"4520A",NA,NA,NA,NA,NA,NA,FALSE
175,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2167,NA,NA,NA,NA,2494,-2494,NA,NA,NA,NA,19877,NA,NA,NA,19877,NA,NA,NA,NA,NA,19877,17383,298,NA,NA,298,1299,NA,NA,1299,-1001,NA,2472,20174,6264,13910,NA,NA,NA,NA,NA,NA,1903,NA,NA,NA,NA,NA,NA,NA,560,NA,350481610,"A. C.E.S.O. ENTREPRISE",273,"17000","LA ROCHELLE","4778C","Autres commerces de détail spécialisés divers",5,47,477,4778,"4778C",NA,NA,NA,NA,NA,NA,FALSE
176,2012,NA,125727862,100126,1146785,126974774,NA,NA,NA,395307,66478,NA,97588328,-471851,442519,17375,8668204,1586483,9055250,3466807,23476,NA,5048074,NA,NA,1974,62953,105180,NA,NA,5675,NA,NA,515398,NA,NA,515398,-339614,4708460,NA,136825,NA,802144,708035,148577,284598,1141211,-339067,905329,1173257,128414489,126123682,2290806,NA,NA,NA,NA,NA,NA,NA,NA,358,NA,NA,NA,NA,NA,NA,NA,350665022,"SODILONNE",286,"85340","OLONNE-SUR-MER","4711F","Hypermarchés",5,47,471,4711,"4711F",NA,NA,NA,NA,NA,NA,FALSE
177,2012,NA,NA,NA,85195,85195,NA,NA,NA,12385,47,97627,NA,NA,NA,NA,43084,616,34035,NA,17911,96167,1460,NA,NA,NA,NA,278,NA,NA,NA,278,NA,NA,NA,NA,NA,278,1738,NA,1100,NA,2129,2521,1100,NA,3621,NA,NA,NA,100034,99788,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350802831,"MEROVEE COMMUNICATION",887,"86000","POITIERS","7311Z","Activités des agences de publicité",5,73,731,7311,"7311Z",NA,NA,NA,NA,NA,NA,FALSE
178,2012,NA,NA,NA,293193,293193,-29383,NA,NA,68,NA,263877,NA,NA,70901,NA,46093,3864,88775,44497,1,255010,8867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,-256,8610,49,6270,NA,6320,NA,NA,NA,34,6286,NA,NA,270197,255300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350828729,"A.G. IMMOBILIER",1203,"77400","LAGNY-SUR-MARNE","4399C","Travaux de maçonnerie générale et gros oeuvre de bâtiment",5,43,439,4399,"4399C",NA,NA,NA,NA,NA,NA,FALSE
179,2012,NA,55860405,-535889,5695037,61019552,NA,NA,1375,981236,NA,62002163,46923611,NA,NA,NA,9972228,214923,1154470,503575,NA,60994664,1007499,NA,NA,NA,NA,1803,6644,67493,NA,90137,NA,1270,117856,NA,NA,-28988,978511,15075,NA,NA,15075,52580,NA,49735,NA,-87240,NA,299927,62107375,61516032,591344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350939070,"CONSOMMABLES ET MATERIELS",261,"75015","PARIS","8299Z","Autres activités de soutien aux entreprises n.c.a.",5,82,829,8299,"8299Z",NA,NA,NA,NA,NA,NA,FALSE
180,2012,NA,NA,NA,619505,619505,NA,NA,NA,14823,274,634603,NA,NA,NA,NA,217271,14319,205121,73815,114,523386,111216,NA,NA,NA,NA,5197,NA,NA,NA,NA,NA,NA,NA,NA,NA,5197,116413,NA,1700,NA,1700,1459,NA,NA,NA,241,NA,35109,641500,559954,81545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351209911,"A.P.M. AGENCE PASCAL MAYER",261,"75007","PARIS","8299Z","Autres activités de soutien aux entreprises n.c.a.",5,82,829,8299,"8299Z",NA,NA,NA,NA,NA,NA,FALSE
181,2012,NA,NA,NA,NA,335186,NA,NA,NA,2386,10,337582,NA,NA,NA,NA,170741,16918,31625,12276,5,295077,42505,8,557284,NA,NA,87138,NA,NA,NA,87138,NA,79,NA,NA,79,87059,-427713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424728,852440,-427713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351226378,"TABASCO",1010,"75017","PARIS","6831Z","Agences immobilières",5,68,683,6831,"6831Z",NA,NA,NA,NA,NA,NA,FALSE
182,2012,NA,NA,NA,117803,117803,NA,NA,NA,NA,NA,117803,NA,NA,NA,NA,44242,7229,24652,2566,NA,142542,-24739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117803,142542,-24739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351338462,"LE VERGER D'ICARD",129,"75009","PARIS","0220Z","Exploitation forestière",5,2,22,220,"0220Z",NA,NA,NA,NA,NA,NA,FALSE
183,2012,NA,325209,NA,NA,325209,NA,NA,NA,5650,NA,330858,105714,NA,NA,NA,55706,3556,117157,32078,NA,323823,7035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,NA,NA,310,-310,6725,84,NA,NA,84,NA,NA,NA,1070,-986,NA,NA,330942,325203,5739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351536099,"ZELAL",357,"75011","PARIS","4711B","Commerce d'alimentation générale",5,47,471,4711,"4711B",NA,NA,NA,NA,NA,NA,FALSE
184,2012,NA,NA,NA,1047588,1047588,NA,NA,338407,5161,124,1391280,NA,NA,83240,17,253864,35385,596179,208849,5268,1245120,146159,NA,NA,NA,NA,6450,NA,NA,NA,NA,NA,83817,NA,NA,83817,-77367,68793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23176,1397730,1352113,45617,NA,NA,NA,NA,NA,NA,21325,24392,NA,31995,973,NA,3502,61060,79301,NA,351560347,"L ANGELIQUE",428,"06800","CAGNES-SUR-MER","8730A","Hébergement social pour personnes âgées",5,87,873,8730,"8730A",NA,NA,NA,NA,NA,NA,FALSE
185,2012,NA,NA,NA,82191,82191,NA,NA,NA,NA,NA,82191,NA,NA,NA,NA,21065,2901,NA,NA,1,49261,32930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13121,NA,NA,13121,-13121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2971,82191,65353,16838,NA,NA,NA,NA,NA,NA,2429,3422,NA,NA,NA,NA,71,15669,2541,10000,352068258,"A ANIL",1528,"75019","PARIS","6820A","Location de logements",5,68,682,6820,"6820A",NA,NA,NA,NA,NA,NA,FALSE
186,2012,NA,NA,NA,531023,531023,NA,NA,NA,37226,9976,578225,NA,NA,244389,13011,118453,2350,122198,42245,346,554657,23567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594,-594,22973,2782,NA,NA,2782,NA,29978,NA,NA,-27196,NA,-533,581006,584696,-3690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352128870,"M2B CONSTRUCTIONS",1203,"14840","CUVERVILLE","4399C","Travaux de maçonnerie générale et gros oeuvre de bâtiment",5,43,439,4399,"4399C",NA,NA,NA,NA,NA,NA,FALSE
187,2012,NA,NA,NA,1782328,1782328,2374158,NA,NA,338034,8855,4503375,1773,NA,2024,NA,1583006,8757,695999,377199,217859,5009502,-506128,NA,NA,NA,NA,NA,NA,711,NA,NA,NA,48606,387,NA,48993,-48282,-554409,109,NA,NA,NA,19259,NA,NA,19259,-19149,NA,-193241,4504195,4884513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352160691,"FL CONCEPTS & CO",1551,"75011","PARIS","5911A","Production de films et de programmes pour la télévision",5,59,591,5911,"5911A",NA,NA,NA,NA,NA,NA,FALSE
