siren,Total des produits d’exploitation,Total des produits financiers,Total des produits exceptionnels,Autres produits
452784697,188028,349,NA,84
452872419,372126,NA,NA,154
452947930,NA,NA,1306,110
453079840,851902,NA,884,3
453115859,NA,NA,NA,NA
453162869,567856,140,3022,3
453163719,172571,NA,NA,5
453176869,148032,NA,NA,2549
453213159,326048,NA,NA,6
453237190,22644,NA,NA,19
453265076,335135,NA,2400,62
453360869,368474,NA,NA,3
453591877,34367,NA,NA,1
453813479,53417,NA,NA,NA
453903213,104241,NA,NA,31
453982753,296032,1295,NA,149
453991481,121226,NA,NA,1
454036484,15748,NA,394,NA
454064312,26681,NA,NA,4
457503977,NA,NA,NA,NA
467500922,18690868,144290,NA,234
476280656,546024,485973,274,NA
477635114,46077,NA,NA,NA
477805634,NA,8,6276,664
477871974,2277353,NA,4062,NA
477889695,291000,NA,7413,NA
477990568,439562,NA,3223,271
478039019,NA,NA,175000,NA
478092760,122025,NA,350,NA
478101587,345472,1152,NA,10
478188048,7003,NA,51926,NA
478262579,849448,2,13838,18
478358476,2259429,65,NA,14
478441587,NA,4661,NA,NA
478446776,2803592,NA,211968,3865
478596547,85385,291750,NA,NA
478630668,NA,128819,NA,NA
478635246,332405,25,3391,3
478740616,783388,96,9,33
478809767,1347157,NA,NA,2243
478827819,NA,NA,NA,NA
478941990,1229236,NA,NA,985
478952070,555497,NA,NA,5718
479026361,455621,1,NA,NA
479062515,63633,NA,NA,17
479065765,13214,NA,NA,NA
479094286,512707,179,3051,1
479129280,336627,NA,NA,NA
479203259,136093,NA,NA,3
479206005,558209,NA,NA,12
479383226,5013,NA,NA,NA
479424830,67533,NA,NA,NA
479485625,229642,NA,NA,NA
479574741,441784,11468,3,75
479592172,367877,NA,NA,9
479613432,2210914,NA,NA,85
479652125,403774,60,NA,10
479727828,173909,NA,NA,153
479773517,456428,75,NA,3
479787400,509733,2154,1143,14
479971905,NA,NA,9500,NA
479989295,178959,50000,NA,7
479992893,279486,NA,NA,16
480023936,946432,5788,NA,28
480187830,703448,NA,NA,468
480188408,246820,NA,NA,189
480231323,143112,NA,NA,223
480259902,NA,NA,2,NA
480381318,NA,NA,NA,91
480413699,830747,NA,14053,NA
480474261,788117,1141,NA,3842
480526078,2656759,4,NA,1
480542539,1,NA,NA,1
480570365,45322,2499090,25065,NA
480588458,NA,NA,NA,NA
480704956,680281,457,31221,NA
480777903,127457,NA,NA,1
480830744,794265,NA,NA,81
480863372,NA,11,2406,NA
480959246,1361569,NA,43669,14
481042802,718059,1697,4100,38
481141422,452481,NA,NA,238
481187656,160312,NA,NA,2
481276996,NA,NA,NA,NA
481389922,NA,NA,NA,320
481402287,326677,NA,122,67
481460871,462749,NA,9197,1965
481480341,188492,NA,NA,2370
481508893,1143199,NA,NA,NA
481518140,NA,4645,NA,97
481541621,215873,NA,NA,790
481640415,8345628,60400,NA,514
481985315,251104,NA,NA,NA
481986248,222360,NA,NA,NA
482068533,105636,NA,NA,206
482236528,2571568,NA,43297,NA
482446010,191962,NA,NA,40
482459062,554206,NA,22774,NA
482561883,299833,NA,NA,NA
482578614,2255114,NA,NA,NA
482592599,321120,NA,NA,14
482609922,NA,NA,1076,NA
482656717,2625971,2282,24360,217653
482879459,1319401,NA,51105,NA
482942794,67748,NA,NA,1584
482994621,NA,NA,3900,4
483034302,1519378,NA,NA,140
483119350,234355,NA,22,NA
483279949,105036,NA,NA,NA
483313417,402677,NA,108,NA
483375549,1793488,NA,NA,6255
483377693,1741479,NA,NA,16
483416665,960961,NA,NA,NA
483616637,3660,NA,NA,2
483646006,132462,NA,NA,2
483933099,203464,NA,NA,1
484203500,NA,NA,23000,NA
484225891,450278,NA,NA,2
484287644,4199,NA,NA,NA
484345863,276804,25,NA,881
484348891,43003,NA,NA,NA
484433362,47782,NA,NA,1213
484605951,3099200,NA,NA,127
484648522,NA,NA,NA,NA
484755731,723675,NA,NA,352
484758727,2950272,61,NA,1616
484765599,131986,NA,NA,NA
484822846,101770,NA,NA,NA
484853882,NA,NA,NA,NA
484854252,NA,NA,NA,52
484947353,67697,2211,NA,NA
485143952,3022395,NA,245,16
487636318,768645,474625,76686,3
487659914,155903,NA,NA,17
487678500,2621329,NA,23200,2521
487730368,2863142,NA,NA,NA
487751067,398661,NA,9390,NA
487751091,2251277,35,NA,NA
487754616,2359126,21,NA,NA
487976110,105287,NA,171376,2
487993594,491041,9,NA,NA
488044215,37152,NA,NA,NA
488057597,89379,NA,150000,NA
488068065,501868,NA,NA,7135
488068834,975877,NA,38297,229
488185778,527744,NA,NA,162
488349143,46471,187,NA,NA
488361486,929539,NA,197,42
488372657,46255,NA,NA,1
488481961,727206,NA,4655,103
488587718,1400,NA,4904,NA
488599630,NA,NA,675,14
